Gamma,chi,psi1,psi3,alfa,taylor1,taylor2,taylor,kappa
0.14769986461489815,-1.2716605689512215,0.37185975075655808,0.20202471360370222,0.47585966011945535,1.0784831615959634,0.48689965149405739,0.77999873874182724,0.7735448509409214
0.19332729572266233,-1.4967923247533801,0.38592813323713182,0.39437072642063142,0.18327786806267454,1.173701134833407,0.49795305748273894,0.75054936721760446,0.79353429366361339
0.082737040468514933,-1.2815144236038398,0.40519216487091669,0.48630514263995561,0.25103048470794032,1.2908139166726302,0.28040436691903209,0.74877494929749822,0.84542015279149219
0.15405022520431688,-1.4620457409121155,0.19719650579069209,0.33764903186446676,0.33523017014236922,1.150585122521365,0.40391317388771758,0.55546469372728324,0.56498297118201968
0.22004324067601488,-1.4155224587541999,0.49966134082053959,0.14637257586143662,0.1890312780677659,1.0229145687268053,0.28337722214751054,0.61693489135634316,0.94686478767456306
0.088124340434606929,-1.4833658331056883,0.15290357691523893,0.18221010150333994,0.30383308597542058,1.3039801077909161,0.19030259794822105,0.62104995803809082,0.85002821871307455
0.24730661543781157,-1.2885447206911496,0.47681841190237595,0.46830475886907985,0.43616398238525578,1.0824342171607346,0.25316613150116812,0.78494156351009181,0.77702139783286628
0.085157331734445507,-1.4746380642770756,0.2759266194952672,0.23984728413895651,0.35536657004751504,1.4606799584624002,0.12461505359998562,0.56265371934887531,0.81594800043863924
0.14964638224502302,-1.4393316460637589,0.23928475822553921,0.27581246292323897,0.49431803996750012,1.2880686588526535,0.0054091047486111519,0.51144099101976037,0.63220841128411875
0.11120205008689937,-1.3084802953070973,0.33277125363653332,0.43551766973748296,0.13145524888481186,1.3979856565968063,0.4213023166269021,0.79069757527500995,0.55142575930700133
0.05923833149265962,-1.2641369184861462,0.12018848433794542,0.2367205861258212,0.41115743763231938,1.3228163959122534,0.30973202879157019,0.64839051374279033,0.79254932767982655
0.13542416347998448,-1.4819673417722272,0.33855996094380558,0.2406211172449797,0.15795056097595692,1.402013273611771,0.075669647945390647,0.85225682533494407,0.89550056353011298
0.057087701894211598,-1.3351248500899815,0.31599438430831195,0.18363613970272633,0.17531662973206419,1.4953643930927889,0.01501500198189352,0.53452748892883017,0.54312011292613827
0.2129698823276272,-1.452002298919145,0.23080773585838246,0.15415629405339465,0.46678284179510743,1.0510317373615501,0.29215327073083552,0.8172827100882758,0.70561134126412639
0.057520050046058216,-1.4469573052941038,0.44655688837816709,0.22067082895971968,0.26209556805352219,1.3443104161805399,0.42526080746037964,0.8900239509731025,0.73078295367339363
0.094591128983146311,-1.4575208542468643,0.36133441895708662,0.33542799849147731,0.33806043869763591,1.2796388385668933,0.49350350938055737,0.6655393774289482,0.72871487870958274
0.1688092622963947,-1.3644264486819213,0.20750597988753319,0.32704703287366083,0.15508551039696944,1.3912339654257031,0.21849391337902452,0.74348779045864777,0.90081676417440337
0.14282582005675643,-1.3000747485406721,0.25303747571918916,0.42531830272630211,0.32040575020814976,1.1771313980777136,0.072669010872369197,0.70187347236127906,0.50706185021152905
0.21640338069645831,-1.3328402774937078,0.16016729041772376,0.38559162333323649,0.31286271354686757,1.0591579922115502,0.45032256639095669,0.79796502922781432,0.8646208859979968
0.13563770907666278,-1.484619446074867,0.47116070928332665,0.36555541933896041,0.41374998933418827,1.225353385230898,0.42302023512642101,0.94456999312841505,0.872809905373227
0.10398540271828099,-1.4100971063046652,0.2704220515043293,0.33468594726137124,0.11111680630538012,1.2863844332001344,0.16217707035226761,0.81540381792354166,0.55986143278261313
0.073263089121114414,-1.2944667406485015,0.41960735606574395,0.20042670725992506,0.31051809472195507,1.0203481995747565,0.13928351519885054,0.68156939429280539,0.88317369739669749
0.071615006463310441,-1.2806512505512158,0.4224347842198316,0.10385006297645674,0.11032472512149481,1.3542261086059992,0.26919617613555458,0.73935474987861949,0.75536375974116443
0.19818769623997901,-1.4378764015573657,0.46366123080308519,0.27746218655814237,0.30699483885110335,1.0170371742727562,0.35183810287775408,0.66470992944880647,0.9226832980685773
0.14729723742170531,-1.3207263912074452,0.36015893433962898,0.13466632305275761,0.45583764362005519,1.2996037961132321,0.21591816322826962,0.91419598503947475,0.61145240024125258
0.15261169027353777,-1.4837475205611446,0.35109512867755865,0.30857053786969091,0.21313677469127174,1.385277148930163,0.098986468240971653,0.75648105161348012,0.68009898591473672
0.12374998125257131,-1.4531613287201026,0.37991539600383961,0.33928879165145298,0.45925683748007395,1.0034173562792903,0.25634685266530549,0.69080405529772781,0.8290037533393293
0.1878382792075341,-1.3776738979510164,0.22625842241145291,0.44957259083125556,0.40232663832453874,1.2868778879127771,0.4947310908035088,0.89932697303083509,0.89058320090696352
0.10254032633843302,-1.3024372381937557,0.22061040893221645,0.43824001801596946,0.18102460173366608,1.0425798655989011,0.47491611334353095,0.87959511562154025,0.64954107959634033
0.075783071231959862,-1.4253869501292959,0.18840070692212305,0.16236437554697822,0.30938788503130904,1.3230944388121735,0.25979988096167794,0.58128758186479879,0.80629442181065869
0.18039086698484774,-1.3563341003407687,0.45744729578410981,0.19834068240297012,0.4356927929773794,1.3740610345512654,0.37886190343624465,0.52711682404014759,0.58162676168772887
0.092950704540450707,-1.2710354716854544,0.46444234400689954,0.41092933467188897,0.41168109039630629,1.0043710984591792,0.22750030711131483,0.50908396813709977,0.54015240508431683
0.24097019539449843,-1.3504588330858556,0.35848291147370814,0.40222647339382644,0.29666738997261011,1.1491204090994094,0.4697999061935344,0.85676176713839025,0.68946864632483051
0.19968756608062216,-1.2984609216935559,0.23498517933948909,0.33027006909901374,0.25170185301217907,1.4543120714998248,0.20016465491453603,0.89098442596484362,0.80512701921835106
0.10520263531997801,-1.4509308316134499,0.19088074485134551,0.3725106198263668,0.48543531082911084,1.456266027942406,0.30677916042572362,0.74175012835382348,0.5280348657816103
0.19501508694593089,-1.4431073780617441,0.3893271590327112,0.46236311044470446,0.47666975026365122,1.1875230387571136,0.43523546033555688,0.56319329750695113,0.52697330258464259
0.16637632969953023,-1.3091802136836386,0.20463714919537537,0.25701290599342808,0.24959458599309836,1.4549254096207591,0.24424155084910887,0.67786902001041394,0.94005551573898261
